bank_txn_id,value_date,narration,credit_paise,debit_paise,balance_paise
bank_0034000000,2026-07-01,NEFT-KKBKN20260701685093296-VELLORE FOODS PRIVATE LIMITED-INV9432,555685,0,5555685
bank_0034000001,2026-07-01,NEFT-SBINN20260701364994284-CASHFREE PAYMENTS INDIA PVT LTD-SETTLEMENT,1994180,0,7549865
bank_0034000003,2026-07-04,NEFT-HDFCN20260704924-RAZORPAY SOFT,3826394,0,11376259
bank_0034000003b,2026-07-04,NEFT-HDFCN20260704924-RAZORPAY SOFT-PART2,7652790,0,19029049
bank_0034000004,2026-07-05,NEFT*ICICN2O26O7O52I43474O3*RZPY SOFTWARE PVTLTD*SETTLEMENT*IN,13427651,0,32456700
bank_0034000005,2026-07-05,NEFT-SBINN20260705870515717-CASHFREE PAYMENTS INDIA PVT LTD-SETTLEMENT,276861,0,32733561
bank_0034000006,2026-07-06,NEFT CR SBINN20260706925743037 RAZORPAY  SOFTWARE   PVT  LTD,4486972,0,37220533
bank_0034000006b,2026-07-06,NEFT CR SBINN20260706925743037 RAZORPAY  SOFTWARE   PVT  LTD-PART2,8973944,0,46194477
bank_0034000007,2026-07-06,RTGS KKBKN20260706318593876 KRISHNA ENTERPRISES LLP VENDOR REFUND,322320,0,46516797
bank_0034000008,2026-07-07,IMPS/KKBKN20260707404035410/RAZORPAY/SETL,10222341,0,56739138
bank_0034000009c,2026-07-08,NEFT-891437164980-ARORA TEXTILES PRIVATE LIMITED-INV6396,10543689,0,67282827
bank_0034000009,2026-07-08,NEFT-KKBKN20260708590-RAZORPAY SOFT,10543689,0,77826516
bank_0034000011,2026-07-09,RTGS ICICN20260709997749689 KRISHNA ENTERPRISES LLP VENDOR REFUND,4783735,0,82610251
bank_0034000012,2026-07-10,IMPS/HDFCN20260710800068029/MEHTA TRADING/ADVANCE,1323129,0,83933380
bank_0034000013,2026-07-10,INT.PD:HDFCN20260710680460017:SAVINGS INTEREST CREDIT,2224330,0,86157710
bank_0034000014,2026-07-10,NEFT-KKBKN20260710579660914-CASHFREE PAYMENTS INDIA PVT LTD-SETTLEMENT,2462803,0,88620513
bank_0034000015,2026-07-10,NEFT-SBINN20260710464402219-CASHFREE PAYMENTS INDIA PVT LTD-SETTLEMENT,1463237,0,90083750
bank_0034000016,2026-07-10,neft-KKBKN20260710282269502-razorpay software pvt ltd-payout,11463005,0,101546755
bank_0034000017,2026-07-11,NEFT-ICICN2O26O7II289299554-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,13611823,0,115158578
bank_0034000018,2026-07-12,NEFT-SBINN20260712894-RAZORPAY SOFT,14252372,0,129410950
bank_0034000019,2026-07-13,NEFT*SBINN2O26O7I339974I64O*RZPY SOFTWARE PVTLTD*SETTLEMENT*IN,12303151,0,141714101
bank_0034000020,2026-07-14,NEFT-KKBKN20260714408847839-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,11636197,0,153350298
bank_0034000021,2026-07-14,NEFT-SBINN20260714163522629-CASHFREE PAYMENTS INDIA PVT LTD-SETTLEMENT,731890,0,154082188
bank_0034000024,2026-07-17,NEFT*HDFCN20260717693667048*RZPY SOFTWARE PVTLTD*SETTLEMENT*IN,12200956,0,166283144
bank_0034000025,2026-07-18,NEFT-HDFCN20260718138390331-MEHTA TRADING PRIVATE LIMITED-INV5553,430492,0,166713636
bank_0034000026,2026-07-18,RTGS SBINN20260718307940743 RAZORPAY SOFTWARE PRIVATE LIMITED,2655078,0,169368714
bank_0034000026p1,2026-07-18,RTGS SBINN20260718307940743 RAZORPAY SOFTWARE PRIVATE LIMITED-PART2,2655078,0,172023792
bank_0034000026p2,2026-07-18,RTGS SBINN20260718307940743 RAZORPAY SOFTWARE PRIVATE LIMITED-PART3,2655078,0,174678870
bank_0034000026p3,2026-07-18,RTGS SBINN20260718307940743 RAZORPAY SOFTWARE PRIVATE LIMITED-PART4,2655079,0,177333949
bank_0034000027,2026-07-19,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT PAYOUT,11521555,0,188855504
bank_0034000028,2026-07-19,NEFT-SBINN20260719147791205-CASHFREE PAYMENTS INDIA PVT LTD-SETTLEMENT,2248939,0,191104443
bank_0034000029,2026-07-20,NEFT-SBINN20260720174235586-MEHTA TRADING PRIVATE LIMITED-INV5930,4198418,0,195302861
bank_0034000030,2026-07-20,RTGS HDFCN20260720305178417 SUNRISE LOGISTICS LLP VENDOR REFUND,141903,0,195444764
bank_0034000031,2026-07-20,neft-KKBKN20260720535893335-razorpay software pvt ltd-payout,15663417,0,211108181
bank_0034000033,2026-07-22,INT.PD:HDFCN20260722888681303:SAVINGS INTEREST CREDIT,2267992,0,213376173
bank_0034000034,2026-07-22,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT PAYOUT,11657788,0,225033961
bank_0034000034c,2026-07-22,NEFT-520795219475-ARORA TEXTILES PRIVATE LIMITED-INV4647,11657788,0,236691749
bank_0034000035,2026-07-23,NEFT-ICICN20260723655842378-CASHFREE PAYMENTS INDIA PVT LTD-SETTLEMENT,1678808,0,238370557
bank_0034000036,2026-07-23,NEFT-SBINN20260712894-RAZORPAY SOFT,10191447,0,248562004
bank_0034000037,2026-07-23,NEFT-UTIBN20260723326998236-MEHTA TRADING PRIVATE LIMITED-INV1725,307810,0,248869814
bank_0034000032,2026-07-25,NEFT*ICICN20260721369446378*RZPY SOFTWARE PVTLTD*SETTLEMENT*IN,12588092,0,261457906
bank_0034000039,2026-07-25,NEFT-KKBKN20260725871-RAZORPAY SOFT,12259397,0,273717303
