dispute_id,payment_id,amount_paise,status,raised_at
disp_0034000154,pay_0034000154,61868,open,2026-08-03T00:23:00
disp_0034000259,pay_0034000259,37067,open,2026-07-24T21:51:00
disp_0034000300,pay_0034000300,54722,open,2026-08-07T07:21:53
disp_0034000447,pay_0034000447,21093,open,2026-07-27T18:01:30
disp_0034000572,pay_0034000572,120045,open,2026-08-02T04:05:52
disp_0034000625,pay_0034000625,37500,open,2026-07-22T00:30:56
disp_0034000764,pay_0034000764,93625,open,2026-07-14T13:10:06
disp_0034001281,pay_0034001281,41460,open,2026-08-02T04:08:36
disp_0034001570,pay_0034001570,54452,open,2026-07-26T07:31:41
disp_0034001783,pay_0034001783,43444,open,2026-07-15T14:25:25
disp_0034001944,pay_0034001944,38097,open,2026-08-07T16:24:13
disp_0034002141,pay_0034002141,137880,open,2026-08-15T12:01:08
disp_0034002448,pay_0034002448,387515,open,2026-08-12T07:50:01
disp_0034003245,pay_0034003245,9306,open,2026-08-04T20:04:40
disp_0034003522,pay_0034003522,54254,open,2026-08-08T04:30:59
disp_0034003600,pay_0034003600,4900,open,2026-07-25T01:07:31
disp_0034003866,pay_0034003866,66112,open,2026-08-03T07:31:06
