payment_id,order_id,amount_paise,method,network,status,fee_paise,tax_paise,captured_at,international
pay_0034000000,order_0034000000,179356,netbanking,none,captured,3408,613,2026-07-17T13:07:46,0
pay_0034000001,order_0034000001,39447,upi,none,captured,0,0,2026-07-31T11:22:37,0
pay_0034000002,order_0034000002,30175,upi,none,captured,0,0,2026-07-05T19:15:42,0
pay_0034000003,order_0034000003,57530,upi,none,captured,0,0,2026-07-10T10:50:32,0
pay_0034000004,order_0034000004,62327,upi,none,captured,0,0,2026-07-13T19:55:18,0
pay_0034000005,order_0034000005,30786,card,visa,captured,616,111,2026-07-09T15:08:26,0
pay_0034000006,order_0034000006,57704,upi,none,captured,0,0,2026-07-17T17:21:58,0
pay_0034000007,order_0034000007,298333,netbanking,none,captured,5668,1020,2026-07-10T02:37:03,0
pay_0034000008,order_0034000008,129321,card,visa,failed,0,0,2026-07-31T11:29:37,0
pay_0034000009,order_0034000009,49041,upi,none,captured,0,0,2026-07-06T15:13:10,0
pay_0034000010,order_0034000010,128429,upi,none,captured,0,0,2026-07-17T19:34:39,0
pay_0034000011,order_0034000011,130399,wallet,none,captured,2608,469,2026-07-18T16:49:05,0
pay_0034000012,order_0034000012,63829,upi,none,captured,0,0,2026-07-24T13:57:42,0
pay_0034000013,order_0034000013,106558,upi,none,captured,0,0,2026-07-28T20:16:55,0
pay_0034000014,order_0034000014,52471,upi,none,captured,0,0,2026-07-21T14:26:38,0
pay_0034000015,order_0034000015,64903,card,visa,captured,1298,234,2026-07-31T11:24:27,0
pay_0034000016,order_0034000016,176361,netbanking,none,captured,3351,603,2026-07-22T04:05:38,0
pay_0034000017,order_0034000017,216830,upi,none,captured,0,0,2026-07-31T04:00:30,0
pay_0034000018,order_0034000018,51449,upi,none,captured,0,0,2026-07-31T06:24:43,0
pay_0034000019,order_0034000019,152315,card,visa,failed,0,0,2026-07-20T14:34:29,0
pay_0034000020,order_0034000020,119007,card,visa,captured,2380,428,2026-07-31T11:12:15,0
pay_0034000021,order_0034000021,206504,upi,none,captured,0,0,2026-07-07T02:45:12,0
pay_0034000022,order_0034000022,75751,upi,none,captured,0,0,2026-07-08T11:46:25,0
pay_0034000023,order_0034000023,501555,upi,none,captured,0,0,2026-07-09T21:36:14,0
pay_0034000024,order_0034000024,24753,upi,none,captured,0,0,2026-07-08T13:12:04,0
pay_0034000025,order_0034000025,18354,card,visa,captured,367,66,2026-07-09T04:52:58,0
pay_0034000026,order_0034000026,399810,upi,none,captured,0,0,2026-07-12T17:50:01,0
pay_0034000027,order_0034000027,152359,upi,none,captured,0,0,2026-07-19T23:48:38,0
pay_0034000028,order_0034000028,6878,wallet,none,captured,138,25,2026-07-23T23:11:44,0
pay_0034000029,order_0034000029,13729,card,visa,captured,275,50,2026-07-07T22:42:17,0
pay_0034000030,order_0034000030,466403,wallet,none,captured,9328,1679,2026-07-28T21:08:20,0
pay_0034000031,order_0034000031,72292,upi,none,captured,0,0,2026-07-16T19:15:21,0
pay_0034000032,order_0034000032,515080,wallet,none,failed,0,0,2026-07-29T00:45:25,0
pay_0034000033,order_0034000033,376042,upi,none,captured,0,0,2026-07-15T14:57:51,0
pay_0034000034,order_0034000034,245918,card,rupay,captured,2459,443,2026-07-23T19:30:24,0
pay_0034000035,order_0034000035,348656,upi,none,captured,0,0,2026-07-08T01:57:23,0
pay_0034000036,order_0034000036,165594,upi,none,captured,0,0,2026-07-07T09:04:05,0
pay_0034000037,order_0034000037,47192,upi,none,failed,0,0,2026-07-21T14:51:08,0
pay_0034000038,order_0034000038,96726,upi,none,captured,0,0,2026-07-12T19:32:05,0
pay_0034000039,order_0034000039,209056,card,visa,captured,4181,753,2026-07-12T12:59:57,0
pay_0034000040,order_0034000040,6254,card,visa,failed,0,0,2026-07-26T14:44:52,0
pay_0034000041,order_0034000041,18895,upi,none,failed,0,0,2026-07-10T06:31:37,0
pay_0034000042,order_0034000042,42384,upi,none,captured,0,0,2026-07-16T23:43:16,0
pay_0034000043,order_0034000043,84485,upi,none,captured,0,0,2026-07-13T20:03:38,0
pay_0034000044,order_0034000044,246949,card,amex,captured,7408,1333,2026-07-30T14:18:43,0
pay_0034000045,order_0034000045,269194,upi,none,captured,0,0,2026-07-01T15:48:54,0
pay_0034000046,order_0034000046,113864,wallet,none,captured,2277,410,2026-07-30T10:53:02,0
pay_0034000047,order_0034000047,37855,upi,none,captured,0,0,2026-07-22T15:34:36,0
pay_0034000048,order_0034000048,55397,card,mastercard,captured,1108,199,2026-07-19T18:21:35,0
pay_0034000049,order_0034000049,115742,upi,none,captured,0,0,2026-07-26T17:06:39,0
pay_0034000050,order_0034000050,65207,upi,none,captured,0,0,2026-07-15T05:53:27,0
pay_0034000051,order_0034000051,333943,card,mastercard,captured,11020,1984,2026-07-01T17:25:48,1
pay_0034000052,order_0034000052,52508,upi,none,captured,0,0,2026-07-11T13:07:34,0
pay_0034000053,order_0034000053,288218,upi,none,captured,0,0,2026-07-18T06:23:52,0
