refund_id,payment_id,amount_paise,created_at,speed
rfnd_0034000005,pay_0034000005,30786,2026-07-15T15:08:26,normal
rfnd_0034000012,pay_0034000012,13398,2026-07-25T13:57:42,instant
rfnd_0034000051,pay_0034000051,333943,2026-07-05T17:25:48,instant
rfnd_0034000068,pay_0034000068,31970,2026-07-13T01:31:57,instant
rfnd_0034000069,pay_0034000069,20804,2026-07-27T01:48:53,instant
rfnd_0034000073,pay_0034000073,33126,2026-07-25T19:55:13,instant
rfnd_0034000089,pay_0034000089,115470,2026-08-10T10:08:08,normal
rfnd_0034000124,pay_0034000124,24460,2026-07-20T07:28:09,normal
rfnd_0034000131,pay_0034000131,50692,2026-07-14T09:31:45,normal
rfnd_0034000133,pay_0034000133,124656,2026-08-01T18:45:53,normal
rfnd_0034000155,pay_0034000155,12921,2026-07-19T15:17:33,normal
rfnd_0034000220,pay_0034000220,71416,2026-08-06T02:34:46,normal
rfnd_0034000249,pay_0034000249,36438,2026-07-20T02:41:57,normal
rfnd_0034000283,pay_0034000283,9505,2026-07-17T17:46:48,normal
rfnd_0034000288,pay_0034000288,40009,2026-07-26T10:19:00,normal
rfnd_0034000289,pay_0034000289,118920,2026-07-17T10:07:17,normal
rfnd_0034000291,pay_0034000291,308384,2026-07-21T18:17:30,instant
rfnd_0034000301,pay_0034000301,3446,2026-07-06T23:51:52,instant
rfnd_0034000314,pay_0034000314,35120,2026-08-02T10:59:38,normal
rfnd_0034000324,pay_0034000324,18929,2026-07-25T18:03:53,instant
rfnd_0034000325,pay_0034000325,33586,2026-08-07T14:49:00,normal
rfnd_0034000326,pay_0034000326,82791,2026-07-22T23:29:32,instant
rfnd_0034000331,pay_0034000331,17998,2026-07-31T10:03:25,normal
rfnd_0034000340,pay_0034000340,237295,2026-08-06T05:25:37,normal
rfnd_0034000384,pay_0034000384,326085,2026-07-18T07:41:51,normal
rfnd_0034000394,pay_0034000394,114579,2026-07-15T09:48:41,normal
rfnd_0034000401,pay_0034000401,253005,2026-07-07T05:43:47,normal
rfnd_0034000403,pay_0034000403,284878,2026-07-08T10:12:06,normal
rfnd_0034000419,pay_0034000419,10889,2026-07-18T01:04:57,instant
rfnd_0034000434,pay_0034000434,154767,2026-07-31T08:55:00,normal
