settlement_id,entity_type,entity_id,gross_paise,fee_paise,tax_paise,net_paise
setl_003400000,payment,pay_0034000045,269194,0,0,269194
setl_003400000,payment,pay_0034000051,333943,11020,1984,320939
setl_003400000,payment,pay_0034000056,6002,0,0,6002
setl_003400000,payment,pay_0034000091,60197,1204,217,58776
setl_003400000,payment,pay_0034000105,29583,592,107,28884
setl_003400000,payment,pay_0034000179,68151,0,0,68151
setl_003400000,payment,pay_0034000268,61454,0,0,61454
setl_003400000,payment,pay_0034000308,66920,0,0,66920
setl_003400000,payment,pay_0034000373,29564,0,0,29564
setl_003400000,payment,pay_0034000403,284878,0,0,284878
setl_003400000,payment,pay_0034000412,330365,6607,1189,322569
setl_003400000,payment,pay_0034000505,91739,0,0,91739
setl_003400000,payment,pay_0034000506,93102,1862,335,90905
setl_003400000,payment,pay_0034000545,53660,241,43,53376
setl_003400000,payment,pay_0034000625,37500,0,0,37500
setl_003400000,payment,pay_0034000630,58879,1119,201,57559
setl_003400000,payment,pay_0034000636,36310,726,131,35453
setl_003400000,payment,pay_0034000701,69168,0,0,69168
setl_003400000,payment,pay_0034000752,64786,0,0,64786
setl_003400000,payment,pay_0034000803,53077,1008,181,51888
setl_003400000,payment,pay_0034000808,29149,0,0,29149
setl_003400000,payment,pay_0034000829,35042,0,0,35042
setl_003400000,payment,pay_0034000852,173091,0,0,173091
setl_003400000,payment,pay_0034000857,25194,0,0,25194
setl_003400000,payment,pay_0034000902,20181,404,73,19704
setl_003400000,payment,pay_0034000924,55059,0,0,55059
setl_003400000,payment,pay_0034001017,142891,0,0,142891
setl_003400000,payment,pay_0034001039,455963,9119,1641,445203
setl_003400000,payment,pay_0034001051,381672,0,0,381672
setl_003400000,payment,pay_0034001139,50578,0,0,50578
setl_003400000,payment,pay_0034001161,52351,0,0,52351
setl_003400000,payment,pay_0034001174,167462,0,0,167462
setl_003400000,payment,pay_0034001321,137750,0,0,137750
setl_003400000,payment,pay_0034001359,102782,0,0,102782
setl_003400000,payment,pay_0034001434,34559,657,118,33784
setl_003400000,payment,pay_0034001480,157647,0,0,157647
setl_003400000,payment,pay_0034001581,212862,0,0,212862
setl_003400000,payment,pay_0034001590,39832,0,0,39832
setl_003400000,payment,pay_0034001626,41629,0,0,41629
setl_003400000,payment,pay_0034001653,64145,1219,219,62707
setl_003400000,payment,pay_0034001710,662376,0,0,662376
setl_003400000,payment,pay_0034001753,62047,0,0,62047
setl_003400000,payment,pay_0034001767,51831,0,0,51831
setl_003400000,payment,pay_0034001828,131490,2498,450,128542
setl_003400000,payment,pay_0034001833,150922,0,0,150922
setl_003400000,payment,pay_0034001868,205411,4108,739,200564
setl_003400000,payment,pay_0034001909,17766,355,64,17347
setl_003400000,payment,pay_0034001923,131428,2629,473,128326
setl_003400000,payment,pay_0034001991,1020182,10202,1836,1008144
setl_003400000,payment,pay_0034002053,28819,576,104,28139
setl_003400000,payment,pay_0034002063,33277,666,120,32491
setl_003400000,payment,pay_0034002104,144384,0,0,144384
setl_003400000,payment,pay_0034002114,169444,0,0,169444
setl_003400000,payment,pay_0034002204,58176,1164,210,56802
setl_003400000,payment,pay_0034002205,144502,0,0,144502
setl_003400000,payment,pay_0034002249,78045,1561,281,76203
setl_003400000,payment,pay_0034002261,34050,681,123,33246
setl_003400000,payment,pay_0034002328,56092,0,0,56092
setl_003400000,payment,pay_0034002329,86086,0,0,86086
setl_003400000,payment,pay_0034002342,61262,0,0,61262
setl_003400000,payment,pay_0034002424,26390,0,0,26390
setl_003400000,payment,pay_0034002425,89048,1781,321,86946
setl_003400000,payment,pay_0034002431,17516,0,0,17516
setl_003400000,payment,pay_0034002462,19865,0,0,19865
setl_003400000,payment,pay_0034002487,60863,0,0,60863
setl_003400000,payment,pay_0034002489,107297,0,0,107297
setl_003400000,payment,pay_0034002500,42658,0,0,42658
setl_003400000,payment,pay_0034002539,786318,15726,2831,767761
setl_003400000,payment,pay_0034002551,27914,558,100,27256
setl_003400000,payment,pay_0034002585,97460,0,0,97460
setl_003400000,payment,pay_0034002593,257689,0,0,257689
setl_003400000,payment,pay_0034002631,160090,0,0,160090
setl_003400000,payment,pay_0034002686,69087,0,0,69087
setl_003400000,payment,pay_0034002690,49164,492,89,48583
setl_003400000,payment,pay_0034002713,58765,0,0,58765
setl_003400000,payment,pay_0034002807,103014,0,0,103014
setl_003400000,payment,pay_0034002872,143297,3367,606,139324
setl_003400000,payment,pay_0034002933,27712,0,0,27712
setl_003400000,payment,pay_0034002937,47717,0,0,47717
setl_003400000,payment,pay_0034002939,207718,0,0,207718
setl_003400000,payment,pay_0034002941,118017,0,0,118017
setl_003400000,payment,pay_0034002944,5876,118,21,5737
setl_003400000,payment,pay_0034003031,194763,0,0,194763
setl_003400000,payment,pay_0034003040,102627,0,0,102627
setl_003400000,payment,pay_0034003163,200810,4016,723,196071
setl_003400000,payment,pay_0034003171,179570,0,0,179570
setl_003400000,payment,pay_0034003269,86568,1731,312,84525
setl_003400000,payment,pay_0034003382,43695,0,0,43695
setl_003400000,payment,pay_0034003386,674726,6747,1214,666765
setl_003400000,payment,pay_0034003450,31050,0,0,31050
setl_003400000,payment,pay_0034003472,72899,729,131,72039
setl_003400000,payment,pay_0034003486,88187,882,159,87146
setl_003400000,payment,pay_0034003535,51657,517,93,51047
setl_003400000,payment,pay_0034003546,168837,3377,608,164852
setl_003400000,payment,pay_0034003556,225934,0,0,225934
setl_003400000,payment,pay_0034003699,37288,746,134,36408
setl_003400000,payment,pay_0034003708,52149,521,94,51534
setl_003400000,payment,pay_0034003730,123676,0,0,123676
setl_003400000,payment,pay_0034003769,78467,0,0,78467
setl_003400000,payment,pay_0034003818,174706,0,0,174706
setl_003400000,payment,pay_0034003871,17336,0,0,17336
setl_003400000,payment,pay_0034003890,99712,0,0,99712
setl_003400000,payment,pay_0034003965,72475,1450,261,70764
setl_003400001,payment,pay_0034000126,23047,438,79,22530
setl_003400001,payment,pay_0034000148,41364,0,0,41364
setl_003400001,payment,pay_0034000162,41014,820,148,40046
setl_003400001,payment,pay_0034000222,25861,0,0,25861
setl_003400001,payment,pay_0034000224,35841,0,0,35841
setl_003400001,payment,pay_0034000231,208136,0,0,208136
setl_003400001,payment,pay_0034000243,111532,0,0,111532
setl_003400001,payment,pay_0034000357,42019,798,144,41077
setl_003400001,payment,pay_0034000364,62188,0,0,62188
setl_003400001,payment,pay_0034000401,253005,0,0,253005
setl_003400001,payment,pay_0034000407,163099,3262,587,159250
setl_003400001,payment,pay_0034000589,103515,0,0,103515
setl_003400001,payment,pay_0034000623,45121,0,0,45121
setl_003400001,payment,pay_0034000687,166079,0,0,166079
setl_003400001,payment,pay_0034000692,111694,2234,20105,89355
setl_003400001,payment,pay_0034000727,132866,0,0,132866
setl_003400001,payment,pay_0034000733,41433,0,0,41433
setl_003400001,payment,pay_0034000743,84751,0,0,84751
setl_003400001,payment,pay_0034000744,302142,6043,1088,295011
setl_003400001,payment,pay_0034000754,60038,1201,216,58621
setl_003400001,payment,pay_0034000826,91527,0,0,91527
setl_003400001,payment,pay_0034000918,127078,2414,435,124229
setl_003400001,payment,pay_0034000931,8012,160,29,7823
setl_003400001,payment,pay_0034000960,72443,1449,261,70733
setl_003400001,payment,pay_0034000975,145279,2906,523,141850
setl_003400001,payment,pay_0034000995,45568,0,0,45568
setl_003400001,payment,pay_0034000998,186221,1862,335,184024
setl_003400001,payment,pay_0034001018,89849,0,0,89849
setl_003400001,payment,pay_0034001044,180398,0,0,180398
setl_003400001,payment,pay_0034001086,72901,1385,249,71267
setl_003400001,payment,pay_0034001108,42790,0,0,42790
setl_003400001,payment,pay_0034001128,32570,0,0,32570
setl_003400001,payment,pay_0034001217,34108,0,0,34108
setl_003400001,payment,pay_0034001224,85785,0,0,85785
setl_003400001,payment,pay_0034001279,20650,413,74,20163
setl_003400001,payment,pay_0034001325,134046,2681,483,130882
setl_003400001,payment,pay_0034001372,85004,1700,306,82998
