settlement_id,utr,net_paise,fees_paise,tax_paise,status,created_at
setl_003400000,,12952359,102976,18536,on_hold,2026-07-03T11:00:00
setl_003400001,HDFCN20260704924607795,11479184,100795,44181,processed,2026-07-04T11:00:00
setl_003400002,ICICN20260705214347403,13427651,87901,15821,processed,2026-07-05T11:00:00
setl_003400003,SBINN20260706925743037,13460916,88943,36540,processed,2026-07-06T11:00:00
setl_003400004,KKBKN20260707404035410,10222341,71835,19156,processed,2026-07-07T11:00:00
setl_003400005,KKBKN20260708590095765,10543689,89051,16031,processed,2026-07-08T11:00:00
setl_003400006,HDFCN20260709830243921,15166252,104633,18834,processed,2026-07-09T11:00:00
setl_003400007,KKBKN20260710282269502,11463005,116602,20990,processed,2026-07-10T11:00:00
setl_003400008,ICICN20260711289299554,13611823,108763,19580,processed,2026-07-11T11:00:00
setl_003400009,SBINN20260712894784530,14252372,116835,21032,processed,2026-07-12T11:00:00
setl_003400010,SBINN20260713399741640,12303151,70007,12601,processed,2026-07-13T11:00:00
setl_003400011,KKBKN20260714408847839,11636197,98221,21109,processed,2026-07-14T11:00:00
setl_003400012,SBINN20260715142969276,17082801,106384,19151,processed,2026-07-15T11:00:00
setl_003400013,HDFCN20260716169940206,15656191,105278,18950,processed,2026-07-16T11:00:00
setl_003400014,HDFCN20260717693667048,12200956,101958,18352,processed,2026-07-17T11:00:00
setl_003400015,SBINN20260718307940743,10620313,64812,59833,processed,2026-07-18T11:00:00
setl_003400016,HDFCN20260719598579492,11521555,87346,15720,processed,2026-07-19T11:00:00
setl_003400017,KKBKN20260720535893335,15663417,116483,20966,processed,2026-07-20T11:00:00
setl_003400018,ICICN20260721369446378,12588092,79498,25735,processed,2026-07-25T11:00:00
setl_003400019,UTIBN20260722956364777,11657788,128346,23104,processed,2026-07-22T11:00:00
setl_003400020,SBINN20260712894829863,10191447,75294,13554,processed,2026-07-23T11:00:00
setl_003400021,ICICN20260724730767178,8831276,81126,14604,processed,2026-07-28T11:00:00
setl_003400022,KKBKN20260725871288567,12259397,81514,87028,processed,2026-07-25T11:00:00
setl_003400023,ICICN20260726735846890,14071240,139092,37426,processed,2026-07-26T11:00:00
setl_003400024,HDFCN20260727278295215,12382107,79150,14248,processed,2026-07-31T11:00:00
setl_003400025,KKBKN20260728659235387,9432135,57994,10441,processed,2026-07-28T11:00:00
setl_003400026,,13417919,116214,49238,on_hold,2026-07-29T11:00:00
setl_003400027,UTIBN20260730900410364,10543063,98075,27319,processed,2026-07-30T11:00:00
setl_003400028,ICICN20260731842259605,11621486,74385,13390,processed,2026-07-31T11:00:00
setl_003400029,UTIBN20260801752580741,14741173,127896,107182,processed,2026-08-01T11:00:00
setl_003400030,KKBKN20260725871499131,10891349,82853,58293,processed,2026-08-02T11:00:00
setl_003400031,SBINN20260803977040931,-946560,0,0,processed,2026-08-03T11:00:00
setl_003400032,UTIBN20260804701246340,-321134,0,0,processed,2026-08-04T11:00:00
setl_003400033,HDFCN20260805152308545,-353859,0,0,processed,2026-08-05T11:00:00
setl_003400034,HDFCN20260806670716403,-180088,0,0,processed,2026-08-06T11:00:00
setl_003400035,ICICN20260807673913914,-1237770,0,0,processed,2026-08-07T11:00:00
setl_003400036,KKBKN20260808183049363,-565666,0,0,processed,2026-08-08T11:00:00
setl_003400037,UTIBN20260809380328967,-288536,0,0,processed,2026-08-09T11:00:00
setl_003400038,UTIBN20260810574484407,-133093,0,0,processed,2026-08-10T11:00:00
setl_003400039,KKBKN20260811157328856,-116869,0,0,processed,2026-08-11T11:00:00
setl_003400040,UTIBN20260813222166461,-387515,0,0,processed,2026-08-13T11:00:00
setl_003400041,KKBKN20260816786502577,-137880,0,0,processed,2026-08-16T11:00:00
